sig_a,sig_b,pearson,cosine,rmse,std_a,std_b,abs_pearson
pdf_bendline_entity_density,dxf_color_count,,,0.0,0.0,0.0,
pdf_bendline_entity_density,dxf_bbox_aspect_ratio,,,0.0,0.0,0.0,
pdf_bendline_entity_density,dxf_arc_length_ratio,,,0.0,0.0,0.0,
pdf_bendline_entity_density,dxf_arc_count,,,0.0,0.0,0.0,
dxf_perimeter_area_ratio,dxf_longest_edge_ratio,,,0.0,0.0,0.0,
dxf_perimeter_area_ratio,dxf_internal_void_area_ratio,,,0.0,0.0,0.0,
dxf_perimeter_area_ratio,dxf_hole_count,,,0.0,0.0,0.0,
dxf_perimeter_area_ratio,dxf_has_interior_polylines,,,0.0,0.0,0.0,
dxf_perimeter_area_ratio,dxf_fill_ratio,,,0.0,0.0,0.0,
dxf_perimeter_area_ratio,dxf_exterior_notch_count,,,0.0,0.0,0.0,
dxf_perimeter_area_ratio,dxf_entity_count,,,0.0,0.0,0.0,
dxf_perimeter_area_ratio,dxf_edge_length_cv,,,0.0,0.0,0.0,
dxf_perimeter_area_ratio,dxf_edge_band_entity_ratio,,,0.0,0.0,0.0,
dxf_perimeter_area_ratio,dxf_concave_corner_ratio,,,0.0,0.0,0.0,
dxf_perimeter_area_ratio,dxf_color_count,,,0.0,0.0,0.0,
dxf_perimeter_area_ratio,dxf_bbox_aspect_ratio,,,0.0,0.0,0.0,
dxf_perimeter_area_ratio,dxf_arc_length_ratio,,,0.0,0.0,0.0,
dxf_perimeter_area_ratio,dxf_arc_count,,,0.0,0.0,0.0,
dxf_longest_edge_ratio,dxf_internal_void_area_ratio,,,0.0,0.0,0.0,
dxf_longest_edge_ratio,dxf_hole_count,,,0.0,0.0,0.0,
dxf_longest_edge_ratio,dxf_has_interior_polylines,,,0.0,0.0,0.0,
dxf_longest_edge_ratio,dxf_fill_ratio,,,0.0,0.0,0.0,
dxf_longest_edge_ratio,dxf_exterior_notch_count,,,0.0,0.0,0.0,
dxf_longest_edge_ratio,dxf_entity_count,,,0.0,0.0,0.0,
dxf_longest_edge_ratio,dxf_edge_length_cv,,,0.0,0.0,0.0,
dxf_longest_edge_ratio,dxf_edge_band_entity_ratio,,,0.0,0.0,0.0,
dxf_longest_edge_ratio,dxf_concave_corner_ratio,,,0.0,0.0,0.0,
dxf_longest_edge_ratio,dxf_color_count,,,0.0,0.0,0.0,
dxf_longest_edge_ratio,dxf_bbox_aspect_ratio,,,0.0,0.0,0.0,
dxf_longest_edge_ratio,dxf_arc_length_ratio,,,0.0,0.0,0.0,
dxf_longest_edge_ratio,dxf_arc_count,,,0.0,0.0,0.0,
dxf_internal_void_area_ratio,dxf_hole_count,,,0.0,0.0,0.0,
dxf_internal_void_area_ratio,dxf_has_interior_polylines,,,0.0,0.0,0.0,
dxf_internal_void_area_ratio,dxf_fill_ratio,,,0.0,0.0,0.0,
dxf_internal_void_area_ratio,dxf_exterior_notch_count,,,0.0,0.0,0.0,
dxf_internal_void_area_ratio,dxf_entity_count,,,0.0,0.0,0.0,
dxf_internal_void_area_ratio,dxf_edge_length_cv,,,0.0,0.0,0.0,
dxf_internal_void_area_ratio,dxf_edge_band_entity_ratio,,,0.0,0.0,0.0,
dxf_internal_void_area_ratio,dxf_concave_corner_ratio,,,0.0,0.0,0.0,
dxf_internal_void_area_ratio,dxf_color_count,,,0.0,0.0,0.0,
dxf_internal_void_area_ratio,dxf_bbox_aspect_ratio,,,0.0,0.0,0.0,
dxf_internal_void_area_ratio,dxf_arc_length_ratio,,,0.0,0.0,0.0,
dxf_internal_void_area_ratio,dxf_arc_count,,,0.0,0.0,0.0,
dxf_hole_count,dxf_has_interior_polylines,,,0.0,0.0,0.0,
dxf_hole_count,dxf_fill_ratio,,,0.0,0.0,0.0,
dxf_hole_count,dxf_exterior_notch_count,,,0.0,0.0,0.0,
dxf_hole_count,dxf_entity_count,,,0.0,0.0,0.0,
dxf_hole_count,dxf_edge_length_cv,,,0.0,0.0,0.0,
dxf_hole_count,dxf_edge_band_entity_ratio,,,0.0,0.0,0.0,
dxf_hole_count,dxf_concave_corner_ratio,,,0.0,0.0,0.0,
dxf_hole_count,dxf_color_count,,,0.0,0.0,0.0,
dxf_hole_count,dxf_bbox_aspect_ratio,,,0.0,0.0,0.0,
dxf_hole_count,dxf_arc_length_ratio,,,0.0,0.0,0.0,
dxf_hole_count,dxf_arc_count,,,0.0,0.0,0.0,
dxf_has_interior_polylines,dxf_fill_ratio,,,0.0,0.0,0.0,
dxf_has_interior_polylines,dxf_exterior_notch_count,,,0.0,0.0,0.0,
dxf_has_interior_polylines,dxf_entity_count,,,0.0,0.0,0.0,
dxf_has_interior_polylines,dxf_edge_length_cv,,,0.0,0.0,0.0,
dxf_has_interior_polylines,dxf_edge_band_entity_ratio,,,0.0,0.0,0.0,
dxf_has_interior_polylines,dxf_concave_corner_ratio,,,0.0,0.0,0.0,
dxf_has_interior_polylines,dxf_color_count,,,0.0,0.0,0.0,
dxf_has_interior_polylines,dxf_bbox_aspect_ratio,,,0.0,0.0,0.0,
dxf_has_interior_polylines,dxf_arc_length_ratio,,,0.0,0.0,0.0,
dxf_has_interior_polylines,dxf_arc_count,,,0.0,0.0,0.0,
dxf_fill_ratio,dxf_exterior_notch_count,,,0.0,0.0,0.0,
dxf_fill_ratio,dxf_entity_count,,,0.0,0.0,0.0,
dxf_fill_ratio,dxf_edge_length_cv,,,0.0,0.0,0.0,
dxf_fill_ratio,dxf_edge_band_entity_ratio,,,0.0,0.0,0.0,
dxf_fill_ratio,dxf_concave_corner_ratio,,,0.0,0.0,0.0,
dxf_fill_ratio,dxf_color_count,,,0.0,0.0,0.0,
dxf_fill_ratio,dxf_bbox_aspect_ratio,,,0.0,0.0,0.0,
dxf_fill_ratio,dxf_arc_length_ratio,,,0.0,0.0,0.0,
dxf_fill_ratio,dxf_arc_count,,,0.0,0.0,0.0,
dxf_exterior_notch_count,dxf_entity_count,,,0.0,0.0,0.0,
dxf_exterior_notch_count,dxf_edge_length_cv,,,0.0,0.0,0.0,
dxf_exterior_notch_count,dxf_edge_band_entity_ratio,,,0.0,0.0,0.0,
dxf_exterior_notch_count,dxf_concave_corner_ratio,,,0.0,0.0,0.0,
dxf_exterior_notch_count,dxf_color_count,,,0.0,0.0,0.0,
dxf_exterior_notch_count,dxf_bbox_aspect_ratio,,,0.0,0.0,0.0,
dxf_exterior_notch_count,dxf_arc_length_ratio,,,0.0,0.0,0.0,
dxf_exterior_notch_count,dxf_arc_count,,,0.0,0.0,0.0,
dxf_entity_count,dxf_edge_length_cv,,,0.0,0.0,0.0,
dxf_entity_count,dxf_edge_band_entity_ratio,,,0.0,0.0,0.0,
dxf_entity_count,dxf_concave_corner_ratio,,,0.0,0.0,0.0,
dxf_entity_count,dxf_color_count,,,0.0,0.0,0.0,
dxf_entity_count,dxf_bbox_aspect_ratio,,,0.0,0.0,0.0,
dxf_entity_count,dxf_arc_length_ratio,,,0.0,0.0,0.0,
dxf_entity_count,dxf_arc_count,,,0.0,0.0,0.0,
dxf_edge_length_cv,dxf_edge_band_entity_ratio,,,0.0,0.0,0.0,
dxf_edge_length_cv,dxf_concave_corner_ratio,,,0.0,0.0,0.0,
dxf_edge_length_cv,dxf_color_count,,,0.0,0.0,0.0,
dxf_edge_length_cv,dxf_bbox_aspect_ratio,,,0.0,0.0,0.0,
dxf_edge_length_cv,dxf_arc_length_ratio,,,0.0,0.0,0.0,
dxf_edge_length_cv,dxf_arc_count,,,0.0,0.0,0.0,
dxf_edge_band_entity_ratio,dxf_concave_corner_ratio,,,0.0,0.0,0.0,
dxf_edge_band_entity_ratio,dxf_color_count,,,0.0,0.0,0.0,
dxf_edge_band_entity_ratio,dxf_bbox_aspect_ratio,,,0.0,0.0,0.0,
dxf_edge_band_entity_ratio,dxf_arc_length_ratio,,,0.0,0.0,0.0,
dxf_edge_band_entity_ratio,dxf_arc_count,,,0.0,0.0,0.0,
dxf_concave_corner_ratio,dxf_color_count,,,0.0,0.0,0.0,
dxf_concave_corner_ratio,dxf_bbox_aspect_ratio,,,0.0,0.0,0.0,
dxf_concave_corner_ratio,dxf_arc_length_ratio,,,0.0,0.0,0.0,
dxf_concave_corner_ratio,dxf_arc_count,,,0.0,0.0,0.0,
dxf_color_count,dxf_bbox_aspect_ratio,,,0.0,0.0,0.0,
dxf_color_count,dxf_arc_length_ratio,,,0.0,0.0,0.0,
dxf_color_count,dxf_arc_count,,,0.0,0.0,0.0,
dxf_bbox_aspect_ratio,dxf_arc_length_ratio,,,0.0,0.0,0.0,
dxf_bbox_aspect_ratio,dxf_arc_count,,,0.0,0.0,0.0,
dxf_arc_length_ratio,dxf_arc_count,,,0.0,0.0,0.0,
