timestamp_utc,rpd_token,part_name,part_key,kit_label,pdf_path,dxf_path,dxf_perimeter_area_ratio,dxf_internal_void_area_ratio,dxf_entity_count,dxf_arc_count,dxf_bbox_aspect_ratio,dxf_fill_ratio,dxf_edge_length_cv,dxf_edge_band_entity_ratio,dxf_arc_length_ratio,dxf_exterior_notch_count,dxf_has_interior_polylines,dxf_color_count,pdf_dim_density,pdf_red_dim_density,pdf_bendline_score,pdf_bendline_entity_density,dxf_future_01,dxf_future_02,dxf_future_03,dxf_future_04,dxf_future_05,dxf_future_06,dxf_future_07,dxf_future_08,dxf_future_09,dxf_future_10,dxf_future_11,dxf_future_12,dxf_future_13,dxf_future_14,dxf_future_15,pdf_future_01,pdf_future_02,pdf_future_03,pdf_future_04,pdf_future_05,pdf_future_06,pdf_future_07,pdf_future_08,pdf_future_09,pdf_future_10,pdf_future_11,pdf_future_12,pdf_future_13,pdf_future_14,pdf_future_15
2026-03-03T23:17:42+00:00,F54525 PAINT PACK.rpd,F54525-B-126,,Brackets,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-126.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-126.dxf,0.8476348342746063,0.0,20.0,,,,,,0.208607235316005,0.0,0.0,1.0,0.0742721330956625,,0.0654008438818565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T23:17:42+00:00,F54525 PAINT PACK.rpd,F54525-B-13,,Bottoms,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-13.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-13.dxf,4.0085826832292,1.5976562500005065,236.0,,,,,,0.0952028609377611,0.0,1.0,2.0,0.1526704958077507,,0.0542056074766355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T23:17:48+00:00,F54525 PAINT PACK.rpd,F54525-B-14,,Sides,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-14.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-14.dxf,1.6878242876754606,1.3759556786703704,85.0,,,,,,0.1295548827166552,0.0,1.0,2.0,0.0288836073149798,,0.0405027932960893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T23:17:49+00:00,F54525 PAINT PACK.rpd,F54525-B-149,,Brackets,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-149.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-149.dxf,16.0343307329162,3.999999999999536,13.0,,,,,,0.0486549137819746,0.0,1.0,1.0,0.009799795339011,,0.0742574257425742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T23:17:49+00:00,F54525 PAINT PACK.rpd,F54525-B-15,,Backs,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-15.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-15.dxf,1.3361942277430068,0.0525977916667147,56.0,,,,,,0.1296914926004096,0.0,1.0,1.0,0.019599590678022,,0.073667711598746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T23:17:49+00:00,F54525 PAINT PACK.rpd,F54525-B-150,,Brackets,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-150.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-150.dxf,16.034330732915727,7.999999999999028,27.0,,,,,,0.0429431079438248,0.0,1.0,1.0,0.0092840166369578,,0.0530565167243368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T23:17:49+00:00,F54525 PAINT PACK.rpd,F54525-B-151,,Brackets,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-151.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-151.dxf,16.034330732912007,5.999999999998338,13.0,,,,,,0.0300525616391088,0.0,1.0,1.0,0.0190838119759688,,0.0792580101180438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T23:17:50+00:00,F54525 PAINT PACK.rpd,F54525-B-152,,Brackets,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-152.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-152.dxf,16.034330732912007,5.999999999998338,13.0,,,,,,0.0300525616391088,0.0,1.0,1.0,0.0670512312669175,,0.0806451612903225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T23:17:50+00:00,F54525 PAINT PACK.rpd,F54525-B-153,,Brackets,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-153.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-153.dxf,16.034330732914594,7.99999999999852,27.0,,,,,,0.0429431079438248,0.0,1.0,1.0,0.0185680332739156,,0.0584269662921348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03T23:17:50+00:00,F54525 PAINT PACK.rpd,F54525-B-154,,Flat Parts,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-154.pdf,W:\LASER\For Battleshield Fabrication\F54525\PAINT PACK\F54525-B-154.dxf,23.322662884233715,3.115702479339846,22.0,,,,,,0.0275581359697978,0.0,1.0,1.0,0.009799795339011,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
